tier,channel,targetDay,priceUsd,meaning
S1,soft,0.25,,Ритуальная трата: завершить особую цель, почувствовать ценность монет
S2,soft,1,,Повседневная кастомизация: купить без тревоги и долгого выбора
S3,soft,3,,Осознанное накопление на конкретное желание
S4,soft,7,,Большая soft-цель: выбор между ней стилем и другим развитием
S5,soft,14,,Добровольный sink для опытного/богатого игрока; никогда не core
H1,hard,0.25,,Ритуальная hard-трата — редкий очень понятный повод
H2,hard,1,,Первый лёгкий hard-выбор: игрок понимает зачем ему кристаллы
H3,hard,3,,Нормальная покупка "для комфорта" у дельфина
H4,hard,7,,Сознательная дорогая hard-покупка для коллекционера
H5,hard,14,,Статусный hard-набор; лучше цельная история чем одиночная деталь
R1,real,,1,Малый прямой оффер: первый платёж / знак поддержки / особый момент
R2,real,,2,Небольшая понятная покупка
R3,real,,3,Обычный платный оффер дельфина
R4,real,,5,Дорогой но оправданный оффер дельфина
R5,real,,10,Нормальный китовый набор: много контента ясная экономия
R6,real,,20,Статусный набор для немногих; не нужен в v2 пока нет большого набора ценности
